Driver,Year,NumStints,NumCompoundsUsed,LongestStint,AvgPaceSoft,AvgPaceMedium,AvgPaceHard,DegSoft,DegMed,AvgTrackTemp,MaxTrackTemp,MinTrackTemp,DegHard,GP
ALB,2022,2,1,6,,100.83250000000001,,,-1.9550571428571422,22.991666666666667,23.53333333333333,22.45,,Bahrain Grand Prix
ALO,2022,2,2,8,,98.614125,96.60700000000001,,0.14901190476190457,29.925000000000004,37.300000000000004,22.55,0.10924999999999938,Bahrain Grand Prix
BOT,2022,5,2,6,95.06225,94.57974999999999,,0.06906607142857134,-0.14464485981308361,28.495000000000005,37.63333333333333,22.5,,Bahrain Grand Prix
GAS,2022,5,3,7,97.9197619047619,95.7055,96.82666666666665,0.2930084260051316,-0.09700000000000127,30.326190476190476,37.4,22.51666666666667,-0.057184210526316226,Bahrain Grand Prix
HAM,2022,1,1,9,,98.75611111111112,,,0.13801470588235348,22.511111111111113,22.511111111111113,22.511111111111113,,Bahrain Grand Prix
HUL,2022,6,3,6,105.51983333333334,100.28999999999999,99.493,2.3471167813300937,0.06465714285714311,28.472222222222218,34.75,22.46666666666667,-0.3624000000000009,Bahrain Grand Prix
LAT,2022,3,3,11,100.06981818181818,97.03733333333334,98.08033333333333,0.042281818181818046,-0.1350714285714269,27.080808080808083,34.86666666666667,22.509090909090908,-0.23199999999999923,Bahrain Grand Prix
LEC,2022,1,1,4,,,96.55749999999999,,,34.65,34.65,34.65,-0.18737142857142913,Bahrain Grand Prix
MAG,2022,3,2,10,102.421,97.924,,-5.372057142857141,0.21033549783549751,30.254444444444445,35.0,22.433333333333334,,Bahrain Grand Prix
MSC,2022,6,3,11,100.20866666666669,97.85252020202022,99.0244,0.08112499999999709,0.12576775271512133,31.040315656565653,37.166666666666664,22.4625,-0.1748999999999981,Bahrain Grand Prix
NOR,2022,4,2,13,98.01747435897437,97.86445,,0.0022788461538462423,0.3270169950738916,32.00275641025641,37.620000000000005,22.60769230769231,,Bahrain Grand Prix
OCO,2022,2,2,8,98.83275,,97.13000000000001,0.14145238095238105,,29.931250000000002,37.275000000000006,22.5875,0.25900000000000173,Bahrain Grand Prix
PER,2022,4,2,7,99.50920238095239,99.66914285714286,,-0.6620307181889157,0.14166666666666722,31.902380952380952,36.7,22.47142857142857,,Bahrain Grand Prix
RIC,2022,5,3,8,96.361875,98.4757875,102.487,0.3982249999999994,0.2987305394990378,32.64983333333333,36.8125,23.725,-0.030235294117649344,Bahrain Grand Prix
RUS,2022,4,2,10,99.9128888888889,97.23200000000001,,1.9781121212121215,0.14614285714285766,31.175000000000004,34.833333333333336,22.5,,Bahrain Grand Prix
SAI,2022,4,3,5,98.52180000000001,104.0445,96.832,-0.005100000000000208,-2.4392499999999995,28.773333333333326,34.8,22.46,-0.27325714285714264,Bahrain Grand Prix
STR,2022,4,2,7,107.46598412698411,,98.95150000000001,2.4714807887637416,,31.326785714285712,34.900000000000006,22.557142857142857,-0.30071186440678055,Bahrain Grand Prix
TSU,2022,3,2,7,95.03966666666668,97.15009523809525,,-0.00825000000000031,-0.08144078947368413,26.61428571428571,33.699999999999996,22.442857142857143,,Bahrain Grand Prix
VER,2022,3,2,10,97.05294444444445,99.1548,,0.05110833333333105,0.061490909090909096,30.217407407407407,34.833333333333336,22.488888888888887,,Bahrain Grand Prix
ZHO,2022,4,3,9,110.98975,97.29590277777778,98.495,6.116299999999999,-0.05211666666666671,28.48347222222222,34.72,22.488888888888887,-0.21859649122807054,Bahrain Grand Prix
ALB,2022,7,3,7,98.075,96.774275,94.96266666666665,-1.1019859649122805,-0.4502250000000003,26.522176870748293,28.875,23.928571428571427,-0.26883263656633183,Saudi Arabian Grand Prix
ALO,2022,4,2,8,94.89666666666668,,95.26527083333335,0.058008540372671474,,26.256249999999998,29.266666666666666,23.924999999999997,-0.24391071428571454,Saudi Arabian Grand Prix
BOT,2022,4,3,5,92.79226666666668,92.97933333333333,94.17066666666666,0.04350684931506961,-0.09575000000000251,27.154999999999998,28.866666666666664,24.399999999999995,-0.19550000000000262,Saudi Arabian Grand Prix
GAS,2022,7,3,6,95.6833125,94.04329166666668,95.16440000000001,1.7056969635627524,-0.13773214285714286,26.60238095238095,29.35,23.933333333333334,-1.0472352941176464,Saudi Arabian Grand Prix
HAM,2022,3,2,9,93.69800000000001,95.96600000000001,,0.21360714285714255,0.025933333333332816,26.719444444444445,28.725,23.933333333333334,,Saudi Arabian Grand Prix
HUL,2022,5,3,9,100.0632,96.4525,95.95488888888889,-0.318314285714284,-0.8308813559322032,25.688333333333333,28.775,23.899999999999995,-0.14978333333333313,Saudi Arabian Grand Prix
LAT,2022,7,3,8,93.03711111111112,95.4936875,96.006125,-0.14433333333333206,0.13135923423423593,26.59549319727891,29.633333333333336,23.8875,-0.37479509685230034,Saudi Arabian Grand Prix
