DriverNumber,Driver,GridPosition,ClassifiedPosition,TyreStrategy,Status,GP,Year
16,LEC,1.0,1,"['SOFT', 'SOFT', 'MEDIUM', 'SOFT']",Finished,Bahrain Grand Prix,2022
55,SAI,3.0,2,"['SOFT', 'SOFT', 'MEDIUM', 'SOFT']",Finished,Bahrain Grand Prix,2022
44,HAM,5.0,3,"['SOFT', 'HARD', 'MEDIUM', 'SOFT']",Finished,Bahrain Grand Prix,2022
63,RUS,9.0,4,"['SOFT', 'HARD', 'MEDIUM', 'SOFT']",Finished,Bahrain Grand Prix,2022
20,MAG,7.0,5,"['SOFT', 'SOFT', 'MEDIUM', 'SOFT']",Finished,Bahrain Grand Prix,2022
77,BOT,6.0,6,"['SOFT', 'MEDIUM', 'MEDIUM', 'SOFT']",Finished,Bahrain Grand Prix,2022
31,OCO,11.0,7,"['SOFT', 'MEDIUM', 'HARD', 'SOFT']",Finished,Bahrain Grand Prix,2022
22,TSU,16.0,8,"['SOFT', 'MEDIUM', 'SOFT', 'SOFT']",Finished,Bahrain Grand Prix,2022
14,ALO,8.0,9,"['SOFT', 'MEDIUM', 'HARD', 'SOFT']",Finished,Bahrain Grand Prix,2022
24,ZHO,15.0,10,"['SOFT', 'MEDIUM', 'MEDIUM', 'SOFT']",Finished,Bahrain Grand Prix,2022
47,MSC,12.0,11,"['SOFT', 'MEDIUM', 'SOFT']",Finished,Bahrain Grand Prix,2022
18,STR,19.0,12,"['SOFT', 'SOFT', 'MEDIUM', 'SOFT']",Finished,Bahrain Grand Prix,2022
23,ALB,14.0,13,"['SOFT', 'MEDIUM', 'MEDIUM', 'SOFT']",Finished,Bahrain Grand Prix,2022
3,RIC,18.0,14,"['MEDIUM', 'SOFT', 'HARD', 'SOFT']",Finished,Bahrain Grand Prix,2022
4,NOR,13.0,15,"['MEDIUM', 'HARD', 'SOFT', 'SOFT']",Finished,Bahrain Grand Prix,2022
6,LAT,20.0,16,"['SOFT', 'SOFT', 'MEDIUM', 'SOFT']",Finished,Bahrain Grand Prix,2022
27,HUL,17.0,17,"['SOFT', 'SOFT', 'MEDIUM', 'SOFT']",Finished,Bahrain Grand Prix,2022
11,PER,4.0,18,"['SOFT', 'MEDIUM', 'SOFT', 'SOFT']",Fuel pressure,Bahrain Grand Prix,2022
1,VER,2.0,19,"['SOFT', 'SOFT', 'MEDIUM', 'SOFT']",Fuel pressure,Bahrain Grand Prix,2022
10,GAS,10.0,R,"['SOFT', 'MEDIUM', 'HARD']",Power Unit,Bahrain Grand Prix,2022
1,VER,4.0,1,"['MEDIUM', 'HARD']",Finished,Saudi Arabian Grand Prix,2022
16,LEC,2.0,2,"['MEDIUM', 'HARD']",Finished,Saudi Arabian Grand Prix,2022
55,SAI,3.0,3,"['MEDIUM', 'HARD']",Finished,Saudi Arabian Grand Prix,2022
11,PER,1.0,4,"['MEDIUM', 'HARD']",Finished,Saudi Arabian Grand Prix,2022
63,RUS,6.0,5,"['MEDIUM', 'HARD']",Finished,Saudi Arabian Grand Prix,2022
31,OCO,5.0,6,"['MEDIUM', 'HARD']",Finished,Saudi Arabian Grand Prix,2022
4,NOR,11.0,7,"['MEDIUM', 'HARD']",Finished,Saudi Arabian Grand Prix,2022
10,GAS,9.0,8,"['MEDIUM', 'HARD']",Finished,Saudi Arabian Grand Prix,2022
20,MAG,10.0,9,"['HARD', 'MEDIUM']",Finished,Saudi Arabian Grand Prix,2022
44,HAM,15.0,10,"['HARD', 'MEDIUM']",Finished,Saudi Arabian Grand Prix,2022
24,ZHO,12.0,11,"['MEDIUM', 'HARD', 'HARD']",Finished,Saudi Arabian Grand Prix,2022
27,HUL,17.0,12,"['HARD', 'MEDIUM']",Finished,Saudi Arabian Grand Prix,2022
18,STR,13.0,13,"['MEDIUM', 'HARD']",+1 Lap,Saudi Arabian Grand Prix,2022
23,ALB,16.0,14,"['MEDIUM', 'HARD']",Collision damage,Saudi Arabian Grand Prix,2022
77,BOT,8.0,R,"['MEDIUM', 'HARD', 'MEDIUM']",Cooling system,Saudi Arabian Grand Prix,2022
14,ALO,7.0,R,"['MEDIUM', 'HARD']",Water pump,Saudi Arabian Grand Prix,2022
3,RIC,14.0,R,"['MEDIUM', 'HARD']",Gearbox,Saudi Arabian Grand Prix,2022
6,LAT,18.0,R,['MEDIUM'],Accident,Saudi Arabian Grand Prix,2022
22,TSU,19.0,R,,Power Unit,Saudi Arabian Grand Prix,2022
47,MSC,,W,,Withdrew,Saudi Arabian Grand Prix,2022
16,LEC,1.0,1,"['MEDIUM', 'HARD']",Finished,Australian Grand Prix,2022
11,PER,3.0,2,"['MEDIUM', 'HARD']",Finished,Australian Grand Prix,2022
63,RUS,6.0,3,"['MEDIUM', 'HARD']",Finished,Australian Grand Prix,2022
44,HAM,5.0,4,"['MEDIUM', 'HARD']",Finished,Australian Grand Prix,2022
4,NOR,4.0,5,"['MEDIUM', 'HARD']",Finished,Australian Grand Prix,2022
3,RIC,7.0,6,"['MEDIUM', 'HARD']",Finished,Australian Grand Prix,2022
31,OCO,8.0,7,"['MEDIUM', 'HARD']",Finished,Australian Grand Prix,2022
77,BOT,12.0,8,"['MEDIUM', 'HARD']",Finished,Australian Grand Prix,2022
10,GAS,11.0,9,"['MEDIUM', 'HARD']",Finished,Australian Grand Prix,2022
23,ALB,20.0,10,"['HARD', 'SOFT']",Finished,Australian Grand Prix,2022
24,ZHO,14.0,11,"['MEDIUM', 'HARD']",Finished,Australian Grand Prix,2022
18,STR,19.0,12,"['HARD', 'MEDIUM', 'HARD', 'HARD']",Finished,Australian Grand Prix,2022
47,MSC,15.0,13,"['MEDIUM', 'HARD']",+1 Lap,Australian Grand Prix,2022
20,MAG,16.0,14,"['HARD', 'MEDIUM']",+1 Lap,Australian Grand Prix,2022
22,TSU,13.0,15,"['MEDIUM', 'HARD']",+1 Lap,Australian Grand Prix,2022
6,LAT,18.0,16,"['MEDIUM', 'HARD', 'HARD']",+1 Lap,Australian Grand Prix,2022
